region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
HAUT-SASSANDRA,Féminin,Marié(e) monogame,45-54,57,2675.3608,.49122807,0,.29824561,.49122807,.087719299,.12280702,.03508772
HAUT-SASSANDRA,Féminin,Marié(e) polygame,45-54,35,8571.4287,.31428573,0,.31428573,.48571429,.057142857,.14285715,.057142857
HAUT-SASSANDRA,Féminin,Union libre,45-54,6,8781.9395,.5,0,.16666667,.5,.16666667,.16666667,0
HAUT-SASSANDRA,Féminin,Veuf(ve),45-54,17,0,.58823532,0,.11764706,.64705884,0,.23529412,.05882353
HAUT-SASSANDRA,Féminin,Divorcé(e),45-54,2,27500,1,0,0,.5,.5,0,0
HAUT-SASSANDRA,Masculin,Célibataire,55-64,2,0,.5,0,.5,0,0,.5,0
HAUT-SASSANDRA,Masculin,Marié(e) monogame,55-64,43,2232.5581,.74418604,0,.30232558,.53488374,.093023255,.069767445,.023255814
HAUT-SASSANDRA,Masculin,Marié(e) polygame,55-64,20,4000,.60000002,0,.30000001,.5,.1,.1,0
HAUT-SASSANDRA,Masculin,Union libre,55-64,4,45833.336,.75,0,.25,.5,0,.25,0
HAUT-SASSANDRA,Masculin,Veuf(ve),55-64,4,22500,.75,0,0,.5,0,.5,0
HAUT-SASSANDRA,Masculin,Séparé,55-64,3,0,.66666669,0,0,1,0,0,0
HAUT-SASSANDRA,Féminin,Célibataire,55-64,4,0,.5,0,.25,0,0,.75,0
HAUT-SASSANDRA,Féminin,Marié(e) monogame,55-64,15,3542.5623,.2,0,.2,.73333335,.06666667,0,.06666667
HAUT-SASSANDRA,Féminin,Marié(e) polygame,55-64,13,0,.46153846,0,.38461539,.46153846,.07692308,.07692308,0
HAUT-SASSANDRA,Féminin,Union libre,55-64,2,0,1,0,0,1,0,0,0
HAUT-SASSANDRA,Féminin,Veuf(ve),55-64,27,0,.5925926,0,.18518518,.33333334,.11111111,.37037036,.037037037
HAUT-SASSANDRA,Féminin,Divorcé(e),55-64,2,0,.5,0,0,1,0,0,0
HAUT-SASSANDRA,Féminin,Séparé,55-64,1,0,0,0,0,1,0,0,0
HAUT-SASSANDRA,Masculin,Marié(e) monogame,65+,21,0,.33333334,0,.38095239,.47619048,.047619049,.095238097,.047619049
HAUT-SASSANDRA,Masculin,Marié(e) polygame,65+,11,0,.36363637,0,.36363637,.54545456,0,.090909094,.090909094
HAUT-SASSANDRA,Masculin,Union libre,65+,2,0,1,0,0,.5,.5,0,0
HAUT-SASSANDRA,Masculin,Veuf(ve),65+,7,0,.5714286,0,0,.71428573,.14285715,.14285715,.14285715
HAUT-SASSANDRA,Masculin,Divorcé(e),65+,2,0,1,0,.5,0,0,.5,0
HAUT-SASSANDRA,Féminin,Célibataire,65+,1,0,0,0,1,0,0,0,0
HAUT-SASSANDRA,Féminin,Marié(e) monogame,65+,5,0,.2,0,.40000001,.40000001,0,.2,0
HAUT-SASSANDRA,Féminin,Marié(e) polygame,65+,9,0,.22222222,0,.22222222,.66666669,0,.11111111,0
HAUT-SASSANDRA,Féminin,Veuf(ve),65+,27,0,.2962963,0,.14814815,.66666669,.037037037,.14814815,0
HAUT-SASSANDRA,Féminin,Divorcé(e),65+,2,0,0,0,.5,.5,0,0,0
PORO,Masculin,Célibataire,0-14,509,29.469547,0,0,.28487229,.39292732,.09823183,.22396857,.01178782
PORO,Féminin,Célibataire,0-14,522,120.55686,0,0,.28927204,.41762453,.10536399,.18582375,.019157087
PORO,Féminin,Marié(e) monogame,0-14,1,0,0,0,0,1,0,0,0
PORO,Masculin,Célibataire,15-24,179,9277.0508,.2793296,.005586592,.42458099,.30726257,.12849163,.1396648,.005586592
PORO,Masculin,Marié(e) monogame,15-24,13,17307.691,.61538464,0,0,.46153846,0,.53846157,0
PORO,Féminin,Célibataire,15-24,125,320,.28,0,.46399999,.248,.12800001,.16,.016000001
PORO,Féminin,Marié(e) monogame,15-24,56,1436.5313,.25,0,.17857143,.42857143,.125,.26785713,.017857144
PORO,Féminin,Marié(e) polygame,15-24,18,3829.5149,.055555556,0,.22222222,.27777779,.055555556,.44444445,0
PORO,Féminin,Union libre,15-24,3,0,.33333334,0,.33333334,.33333334,0,.33333334,0
PORO,Masculin,Célibataire,25-34,43,35710.578,.74418604,.023255814,.41860464,.13953489,.23255815,.20930232,.046511628
PORO,Masculin,Marié(e) monogame,25-34,55,27276.207,.61818182,0,.14545454,.45454547,.090909094,.29090908,.018181818
PORO,Masculin,Marié(e) polygame,25-34,15,9341.6279,.46666667,0,.06666667,.53333336,0,.40000001,0
PORO,Masculin,Union libre,25-34,5,86940.594,.80000001,0,0,.2,0,.80000001,0
PORO,Masculin,Séparé,25-34,2,65093.992,1,0,0,0,0,1,0
PORO,Féminin,Célibataire,25-34,23,9847.8428,.34782609,0,.39130434,.26086956,.17391305,.13043478,0
PORO,Féminin,Marié(e) monogame,25-34,70,5977.8232,.2857143,.014285714,.14285715,.37142858,.11428571,.35714287,.042857144
PORO,Féminin,Marié(e) polygame,25-34,47,0,.17021276,0,.27659574,.53191489,.021276595,.17021276,.021276595
PORO,Féminin,Union libre,25-34,7,0,.14285715,0,.14285715,.14285715,0,.71428573,0
PORO,Féminin,Veuf(ve),25-34,1,0,0,0,0,0,0,1,0
PORO,Masculin,Célibataire,35-44,7,40952.379,.85714287,0,.14285715,.2857143,.14285715,.42857143,0
