,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
655,93,milieu_resid,catégorielle,,,,,,Urbain,100.0
656,93,region_name,catégorielle,,,,,,GRANDS-PONTS,13.898305084745763
657,93,bancarise,catégorielle,,,,,,1,100.0
658,94,age_num,numérique,27.174664107485604,25.0,8.085969040235785,15.0,53.0,,
659,94,sex,catégorielle,,,,,,Masculin,100.0
660,94,marital_status,catégorielle,,,,,,Célibataire,96.1612284069098
661,94,city,catégorielle,,,,,,ABIDJAN,97.12092130518234
662,94,milieu_resid,catégorielle,,,,,,Urbain,100.0
663,94,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,100.0
664,94,bancarise,catégorielle,,,,,,1,99.23224568138195
665,95,age_num,numérique,9.787937743190662,9.5,6.308181082159684,0.0,36.0,,
666,95,sex,catégorielle,,,,,,Féminin,50.0
667,95,marital_status,catégorielle,,,,,,Célibataire,99.80544747081711
668,95,city,catégorielle,,,,,,GAGNOA,52.723735408560316
669,95,milieu_resid,catégorielle,,,,,,Urbain,100.0
670,95,region_name,catégorielle,,,,,,GÔH,100.0
671,95,bancarise,catégorielle,,,,,,0,100.0
672,96,age_num,numérique,8.626415094339622,8.0,6.273445447406828,0.0,38.0,,
673,96,sex,catégorielle,,,,,,Masculin,100.0
674,96,marital_status,catégorielle,,,,,,Célibataire,100.0
675,96,city,catégorielle,,,,,,NIABLE,15.471698113207546
676,96,milieu_resid,catégorielle,,,,,,Rural,100.0
677,96,region_name,catégorielle,,,,,,INDENIE-DJUABLIN,100.0
678,96,bancarise,catégorielle,,,,,,0,100.0
